Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
RP23-271O17.1,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0,0,0,0
RP23-317L18.1,0,0,0,0,0,0,0,0,0
RP23-317L18.4,0,0,0,0,0,0,0,0,0
RP23-317L18.3,0,0,0,0,0,0,0,0,0
RP23-115I1.6,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0
RP23-115I1.5,0,0,0,0,0,0,0,0,0
RP23-115I1.2,0,0,0,0,1,0,0,0,0
RP23-115I1.3,0,0,0,0,0,0,0,0,0
RP23-122M2.3,0,0,0,0,0,0,0,0,0
RP23-122M2.2,0,0,0,0,0,0,0,0,0
RP23-122M2.1,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0
RP23-333I7.1,0,0,0,0,0,0,0,0,0
RP23-177A20.1,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0
RP23-391E12.2,0,0,0,0,0,0,0,0,0
Sox17,0,0,0,0,0,0,0,0,0
RP23-285G23.2,0,0,0,0,0,0,0,0,0
RP23-285G23.3,2,0,2,0,1,1,0,3,2
Gm22307,0,0,0,0,0,0,0,0,0
RP23-285G23.4,0,0,0,0,0,0,0,0,0
RP23-37D15.1,0,0,0,0,0,0,0,0,0
RP23-37D15.2,0,0,0,0,0,0,0,0,0
Gm6085,0,2,1,2,1,1,3,0,1
RP23-34E15.2,0,0,0,0,0,0,0,0,0
Gm25493,0,0,0,0,0,0,0,0,0
RP23-34E15.3,0,0,0,0,0,0,0,0,0
RP23-34E15.4,2,3,6,6,4,68,13,9,11
Mrpl15,1245,1341,1476,965,1235,1784,1058,1732,1531
RP23-34E15.5,0,0,0,0,0,0,1,0,2
Lypla1,1483,1410,1370,1146,1422,2624,991,1101,2352
RP24-426M1.3,0,5,0,3,0,0,0,0,0
Tcea1,1381,2044,2051,2325,2386,1893,2391,916,2261
Gm6104,3,10,15,7,3,24,5,2,4
RP24-426M1.4,0,0,0,0,0,0,0,0,0
Rgs20,0,0,0,0,0,0,0,0,0
Gm17100,0,0,0,0,0,0,0,0,0
RP24-141F9.2,0,0,0,0,0,0,0,0,0
Gm16041,0,0,0,0,0,0,0,0,0
Gm17101,0,0,0,0,0,0,0,0,0
