Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
0610007P14Rik,1049,950,934,1068,1140,947,1393,907,1427
0610009B22Rik,283,590,615,241,383,608,299,186,696
0610010F05Rik,352,678,1377,958,879,616,332,0,186
0610011F06Rik,430,565,553,462,558,688,710,826,706
0610012G03Rik,480,589,683,324,596,673,909,933,419
0610037L13Rik,467,570,593,558,330,423,356,198,568
1110001J03Rik,325,196,424,311,287,346,111,77,260
1110004E09Rik,314,550,462,243,259,369,298,173,294
1110004F10Rik,2387,3393,3269,3072,3694,3127,3209,3842,2916
1110007C09Rik,373,553,438,419,278,823,290,254,203
1110008F13Rik,1188,1908,1990,1677,1593,1397,1129,989,661
1110008L16Rik,448,1384,764,894,1103,1273,965,0,23
1110012L19Rik,314,226,264,266,431,67,600,791,261
1110032A03Rik,249,499,254,312,106,286,111,250,468
1110034G24Rik,86,109,76,324,171,348,363,513,386
1110037F02Rik,1452,582,1586,1743,1811,749,3012,871,3014
1110038F14Rik,233,481,356,304,302,324,380,724,183
1110051M20Rik,258,336,546,306,222,21,562,1124,241
1110057K04Rik,1241,966,889,420,584,972,2227,0,808
1110058L19Rik,365,668,422,309,322,831,360,114,639
1110059E24Rik,1455,2229,1433,477,822,532,1080,907,1609
1110059G10Rik,199,348,333,259,309,130,532,763,836
1190002F15Rik,211,470,421,146,256,195,289,155,224
1190002N15Rik,879,427,869,1375,938,628,2153,2233,364
1190007I07Rik,175,208,240,125,194,88,74,143,229
1200014J11Rik,516,713,1140,205,1307,581,726,986,1221
1500011B03Rik,282,332,338,370,526,261,781,779,779
1500011K16Rik,134,175,139,191,186,224,161,92,144
1600012H06Rik,418,121,214,293,273,899,1007,396,655
1600014C10Rik,1503,1791,1381,1202,1436,820,938,1532,1964
1700017B05Rik,1318,2358,2201,2176,2405,2544,2500,3552,2661
1700020I14Rik,2424,2094,1880,1770,1807,994,1774,1491,3406
1700021F05Rik,133,262,248,237,158,145,66,170,122
1700021K19Rik,779,822,1031,497,730,1205,742,0,326
1700025G04Rik,921,1993,1103,993,905,526,796,615,188
1700037H04Rik,284,377,743,569,746,824,654,914,549
1700052N19Rik,772,828,1117,614,531,934,542,515,774
1700123O20Rik,682,656,839,863,825,789,874,913,1029
1810013L24Rik,858,710,617,660,965,1754,1756,463,499
1810022K09Rik,797,965,1078,789,607,889,443,196,578
1810026J23Rik,2030,1948,1761,2194,2384,2509,2622,1778,2640
1810030O07Rik,2062,1120,1714,1983,3067,843,2808,2424,3318
1810037I17Rik,457,513,786,724,540,733,843,327,570
1810043G02Rik,115,564,247,172,151,742,256,413,650
1810043H04Rik,99,251,279,398,186,219,254,232,459
1810058I24Rik,683,634,933,1341,778,638,639,927,485
2010012O05Rik,253,488,309,186,666,417,99,83,229
2010107E04Rik,780,1036,1259,1115,751,783,967,649,812
2010111I01Rik,639,677,514,811,426,354,32,0,344
2210013O21Rik,331,578,496,285,186,522,549,299,1272
2210016F16Rik,342,680,724,836,1165,1034,1294,255,1687
2210016L21Rik,306,583,351,407,288,559,529,797,215
2210018M11Rik,456,498,619,484,1356,580,611,509,1135
2310001H17Rik,260,145,158,204,135,159,202,0,209
2310003H01Rik,548,527,945,571,147,555,740,86,272
2310011J03Rik,613,775,685,459,822,1023,637,1051,917
2310022A10Rik,591,659,521,465,427,357,914,1056,962
2310022B05Rik,145,349,379,189,174,188,201,340,72
2310033P09Rik,316,110,300,398,233,318,496,274,284
2310035C23Rik,537,112,531,122,543,1049,911,3,441
2310036O22Rik,746,1015,1188,965,978,925,1207,1121,1364
2310039H08Rik,172,318,422,344,192,307,169,143,351
2310045N01Rik,275,214,325,180,405,554,482,846,325
2310057M21Rik,325,120,209,0,202,291,0,316,249
2310061I04Rik,139,234,278,342,208,500,287,386,355
2310067B10Rik,1129,839,771,624,923,1264,737,0,1814
2410002F23Rik,945,1022,1080,801,905,1522,778,318,1598
2410004B18Rik,148,290,271,301,194,366,0,146,285
2410006H16Rik,356,523,335,222,231,317,105,655,434
2410015M20Rik,656,840,884,993,996,1197,824,542,666
2410016O06Rik,757,390,777,777,476,746,604,0,1249
2410127L17Rik,809,691,865,1023,935,1264,1217,1507,764
2510002D24Rik,379,479,429,273,264,398,384,978,263
2510003E04Rik,370,1227,1093,590,722,383,1895,746,1571
2510039O18Rik,1718,1212,1934,2857,2411,2932,2070,3114,1612
2610001J05Rik,1119,1047,997,874,1346,1207,896,1083,1628
2610002J02Rik,658,713,603,701,627,757,1155,1335,1452
2610002M06Rik,356,552,696,315,824,917,819,297,872
2610008E11Rik,218,226,472,804,723,1385,0,0,991
2610035D17Rik,536,1249,283,294,765,843,858,1945,992
2610044O15Rik8,192,133,625,689,266,402,624,6,331
2610301B20Rik,499,1096,1127,548,879,2344,706,1065,1083
2610307P16Rik,212,222,158,279,105,435,204,14,151
2610318N02Rik,41,189,338,188,294,176,184,0,193
2610507B11Rik,4998,2223,4792,5576,6273,3113,6804,8053,2100
2610524H06Rik,650,749,884,374,491,359,873,215,702
2700029M09Rik,1176,1204,1562,1045,865,1117,1228,526,1746
2700049A03Rik,396,968,758,849,1027,842,235,0,461
2700060E02Rik,962,2153,2112,2146,2276,1981,2040,669,2471
2700062C07Rik,185,163,306,267,283,324,331,220,270
2700089E24Rik,143,448,446,103,339,276,738,265,739
2700094K13Rik,1268,1914,2088,1302,1053,1370,1154,830,1384
2810004N23Rik,598,816,804,911,1055,785,718,844,610
2810006K23Rik,468,509,450,274,375,515,256,0,267
2810013P06Rik,506,111,208,334,195,537,544,388,158
2810025M15Rik,313,251,311,294,113,107,207,294,279
2810403A07Rik,1813,932,1109,1421,607,933,831,1116,714
2810408M09Rik,429,508,620,956,662,484,386,947,1013
2810417H13Rik,4749,6102,7049,5909,4573,2707,8060,2446,4636
2810428I15Rik,357,503,538,358,455,277,682,186,299
2810474O19Rik,651,1459,1510,1173,1029,607,2885,3417,2660
2900026A02Rik,732,783,285,555,1741,169,1538,1746,1267
3110002H16Rik,616,490,738,914,860,1374,1202,489,368
3110040N11Rik,447,488,457,295,397,392,624,150,379
3110082I17Rik,800,548,869,537,427,750,252,0,0
3830406C13Rik,530,747,796,608,399,547,474,504,824
4632427E13Rik,413,545,536,584,87,498,883,0,842
4632428N05Rik,354,474,601,1181,1337,913,2338,2076,2785
4833420G17Rik,802,565,747,1319,704,754,1604,186,197
4833439L19Rik,1603,2467,2561,1614,1461,1933,1202,2,1111
4921524J17Rik,262,213,360,373,416,215,271,516,385
4930427A07Rik,1828,2004,2741,1797,1765,2571,1968,1604,1937
4930453N24Rik,825,584,694,871,1131,1593,991,955,1845
4930523C07Rik,435,536,503,124,370,437,3035,1931,2317
4930579G24Rik,193,812,1077,632,694,472,876,262,1254
4931406C07Rik,93,393,154,173,147,116,62,164,140
4931406P16Rik,51,483,481,153,403,207,502,119,1080
4932438A13Rik,350,1284,750,645,940,1097,726,2451,1794
4933426M11Rik,557,227,669,1576,555,784,1748,844,1341
4933427D14Rik,227,185,457,534,634,397,588,243,310
